movie_id,title,genre,year,description
1,Interstellar,sci-fi,2014,"A team of astronauts travels through a wormhole in search of a new home for humanity beyond our dying planet."
2,The Martian,sci-fi,2015,"An astronaut stranded on Mars must use his ingenuity to survive while NASA engineers race to bring him home."
3,Gravity,sci-fi,2013,"Two astronauts struggle to survive in space after their shuttle is destroyed by debris."
4,Inception,sci-fi,2010,"A thief who steals corporate secrets through dream-sharing technology is tasked with planting an idea into a CEO's mind."
5,Arrival,sci-fi,2016,"A linguist is recruited by the military to communicate with alien lifeforms after a dozen mysterious spacecraft appear around the world."
6,Ex Machina,sci-fi,2014,"A programmer is selected to participate in a groundbreaking experiment in synthetic intelligence by evaluating a humanoid robot."
7,The Notebook,romance,2004,"A young couple falls in love during the 1940s, but their romance is threatened by class differences and family opposition."
8,Pride and Prejudice,romance,2005,"Sparks fly when spirited Elizabeth Bennet meets the proud and arrogant Mr. Darcy in Regency-era England."
9,La La Land,romance,2016,"A jazz musician and an aspiring actress fall in love while pursuing their dreams in Los Angeles."
10,Titanic,romance,1997,"A fictional love story set against the backdrop of the ill-fated maiden voyage of the RMS Titanic."
11,The Dark Knight,action,2008,"Batman battles the Joker, a criminal mastermind who plunges Gotham City into anarchy using a campaign of chaos and terror."
12,Mad Max Fury Road,action,2015,"In a post-apocalyptic wasteland, Max teams with a rebel warrior to flee from a cult leader controlling the water supply."
13,John Wick,action,2014,"A retired hitman seeks vengeance against the Russian mobster who killed his dog and stole his car."
14,The Matrix,action,1999,"A computer hacker discovers that reality is a simulation and joins a rebellion against the machines that control it."
15,Avengers Endgame,action,2019,"The Avengers assemble to reverse the damage caused by Thanos and restore balance to the universe."
